Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Seychelles,SUB-SAHARAN AFRICA,81541,455,179.2,107.91,-5.69,15.53,7800,58.0,262.4,2.22,13.33,84.45,2,16.03,6.29,0.032,0.304,0.665
Sierra Leone,SUB-SAHARAN AFRICA,6005250,71740,83.7,0.56,0,143.64,500,31.4,4.0,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21
Somalia,SUB-SAHARAN AFRICA,8863338,637657,13.9,0.47,5.37,116.7,500,37.8,11.3,1.67,0.04,98.29,1,45.13,16.63,0.65,0.1,0.25
South Africa,SUB-SAHARAN AFRICA,44187637,1219912,36.2,0.23,-0.29,61.81,10700,86.4,107.0,12.08,0.79,87.13,1,18.2,22,0.025,0.303,0.671
Sudan,SUB-SAHARAN AFRICA,41236378,2505810,16.5,0.03,-0.02,62.5,1900,61.1,16.3,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41
Swaziland,SUB-SAHARAN AFRICA,1136334,17363,65.5,0.00,0,69.27,4900,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366
Tanzania,SUB-SAHARAN AFRICA,37445392,945087,39.6,0.15,-2.06,98.54,600,78.2,4.0,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396
Togo,SUB-SAHARAN AFRICA,5548702,56785,97.7,0.10,0,66.61,1500,60.9,10.6,46.15,2.21,51.64,2,37.01,9.83,0.395,0.204,0.401
Tunisia,NORTHERN AFRICA,10175014,163610,62.2,0.70,-0.57,24.77,6900,74.2,123.6,17.86,13.74,68.4,3,15.52,5.13,0.132,0.318,0.55
Uganda,SUB-SAHARAN AFRICA,28195754,236040,119.5,0.00,0,67.83,1400,69.9,3.6,25.88,10.65,63.47,2,47.35,12.24,0.311,0.222,0.469
Western Sahara,NORTHERN AFRICA,273008,266000,1.0,0.42,,,,,,0.02,0,99.98,1,,,,,0.4
Zambia,SUB-SAHARAN AFRICA,11502010,752614,15.3,0.00,0,88.29,800,80.6,8.2,7.08,0.03,92.9,2,41,19.93,0.22,0.29,0.489
Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,31.3,0.00,0,67.69,1900,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,0.179,0.243,0.579
